Label,Category
not,interface
potentially,instanceof SessionAware/RequestAware
not,deprecated
not,test function
not,interface
potentially,instanceof ServletRequestAware/ServletResponseAware
not,deprecated
not,test function
not,interface
potentially,instanceof ServletResponseAware/ParameterAware
not,deprecated
not,test function
not,interface
not,deprecated
potentially,instanceof ApplicationAware/SessionAware
not,test function
not,interface
not,deprecated
potentially,instanceof PrincipalAware/ServletContextAware
not,test function
potentially,instanceof PrincipalAware/PortletContextAware
potentially,method name change
not,interface
not,deprecated
potentially,instanceof BundleContextAware
not,test function
not,interface
potentially,adding support for another interface
not,deprecated
not,test function
not,interface
potentially,instanceof PortletContextAware/PortletPreferencesAware
not,deprecated
not,interface
potentially,instanceof PortletPreferencesAware
not,deprecated
not,interface
potentially,instanceof PortletRequestAware/PortletResponseAware
not,deprecated
not,test function
not,interface
potentially,instanceof PortletResponseAware/PrincipalAware
not,deprecated
not,test function
not,interface
not,deprecated
not,deprecated
not,deprecated
potentially,Init ParamteresAware with context.getParameters
not,test function
not,interface
not,refactor
not,deprecated
not,Simple class implementation storing a services parameter
not,test function
not,refactor (change method name)
not,refactor (change method name)
not,interface
potentially,instanceof ServletContextAware
not,deprecated
not,test function
security,Access Control List modification
security,New validator
security,asUser
not,interface
security,logging/principal handling
not,empty line
not,additional parameter in function declaration
security,asUser
security,asUser
security,adding ImpersonationAuthorizer class
security,impersonationAuthorizer
not,asUser
security,authorization/authentication
security,asUser
security,authorization/authentication
security,additinal null to super
security,asUser
security,adding HiveBolt class
not,adding DelimitedRecordHiveMapper class
not,interface
not,adding JsonRecordHiveMapper class
not,adding HiveOptions class
security,adding HiveUtils class
not,adding HiveWriter class
security,adding HiveState class
not,HiveStateFactory
not,HiveUpdater
not,test class
not,test class
not,test class
not,test class
not,test class
not,TridentHiveTopology
not,public to private
not,test class
not,log.info to log.debug
security,Access Control List modification
security,adding wildcard for authorization
security,removing ImpersonationAuthorizer and its usage
not,logging impersonation attempts
security,adding doAsUser
security,redirecting from method to another
not,logging to reporting
not,test class
security,adding principals based on username
